Class,Baseline Dice,Augmented Dice,Baseline IoU,Augmented IoU
Right Ventricle (RV),0.8417879221795266,0.8698280950934982,0.7267994681630965,0.769642291865177
Myocardium,0.8482474519788996,0.8671560856654669,0.7364841114844339,0.7654682826938185
Left Ventricle (LV),0.9390095838393063,0.9520471767033669,0.8850311647841054,0.9084828587116761
