Experiment,Mean Dice,Mean IoU,Cardiac Dice,Cardiac IoU
Baseline U-Net,0.9065360033939522,0.8356324094651066,0.8763483193325775,0.7827715814772119
Augmented U-Net,0.921649850432668,0.8596853304818359,0.8963437858207773,0.8145311444235572
